Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield,MA50,MA200
2005-09-19,0.0,0.0,0.0,2545.24,153545764.0,29470500000.0,16.43,3.77,1.71,,
2005-09-20,0.0,0.0,0.0,2552.9,160933262.0,40210900000.0,16.48,3.78,1.7,,
2005-09-21,0.0,0.0,0.0,2537.1,191105960.0,47226600000.0,16.38,3.76,1.71,,
2005-09-22,0.0,0.0,0.0,2441.97,186416118.0,42446800000.0,15.76,3.62,1.78,,
2005-09-23,0.0,0.0,0.0,2444.67,139189970.0,36192500000.0,15.78,3.62,1.78,,
2005-09-26,0.0,0.0,0.0,2522.91,98193355.0,26247900000.0,16.3,3.74,1.71,,
2005-09-27,0.0,0.0,0.0,2540.16,127582393.0,37254500000.0,16.41,3.76,1.7,,
2005-09-28,0.0,0.0,0.0,2561.5,120621184.0,36546600000.0,16.55,3.79,1.68,,
2005-09-29,0.0,0.0,0.0,2569.25,221552542.0,57201800000.0,16.6,3.81,1.68,,
2005-09-30,0.0,0.0,0.0,2566.58,153332332.0,42356899999.99999,16.59,3.8,1.68,,
2005-10-03,0.0,0.0,0.0,2595.5,114054598.0,30294200000.0,16.78,3.85,1.66,,
2005-10-04,0.0,0.0,0.0,2628.08,123730034.0,39372000000.0,16.99,3.89,1.64,,
2005-10-05,0.0,0.0,0.0,2607.73,124382348.0,38146500000.0,16.86,3.86,1.65,,
2005-10-06,0.0,0.0,0.0,2546.86,147202311.0,43998700000.0,16.46,3.77,1.69,,
2005-10-07,0.0,0.0,0.0,2540.03,127212274.0,44148100000.00001,16.42,3.76,1.7,,
2005-10-10,0.0,0.0,0.0,2531.01,89380736.0,29265600000.0,16.36,3.75,1.7,,
2005-10-11,0.0,0.0,0.0,2552.49,112779272.0,37087400000.0,16.5,3.78,1.69,,
2005-10-13,0.0,0.0,0.0,2503.87,131755299.0,45435700000.0,16.19,3.71,1.72,,
2005-10-14,0.0,0.0,0.0,2451.46,122846572.0,39885100000.0,15.85,3.63,1.76,,
2005-10-17,0.0,0.0,0.0,2448.54,102108282.0,34430700000.0,15.83,3.63,1.76,,
2005-10-18,0.0,0.0,0.0,2431.95,104385806.0,36843100000.0,15.73,3.61,1.77,,
2005-10-19,0.0,0.0,0.0,2376.04,135591175.0,43498900000.0,15.37,3.52,1.81,,
2005-10-20,0.0,0.0,0.0,2353.52,172494004.0,47104600000.0,15.22,3.49,1.83,,
2005-10-21,0.0,0.0,0.0,2398.31,152952970.0,42510700000.0,15.51,3.56,1.8,,
2005-10-24,0.0,0.0,0.0,2354.27,122701242.0,33145900000.0,15.23,3.49,1.83,,
2005-10-25,0.0,0.0,0.0,2375.6,122782405.0,38013800000.0,15.36,3.52,1.81,,
2005-10-26,0.0,0.0,0.0,2367.39,95303321.0,30051900000.0,15.31,3.51,1.82,,
2005-10-27,0.0,0.0,0.0,2311.82,185282592.0,54628000000.0,14.95,3.43,1.86,,
2005-10-28,0.0,0.0,0.0,2277.76,123244953.0,35237500000.0,14.73,3.38,1.89,,
2005-10-31,0.0,0.0,0.0,2330.81,100459782.0,26823500000.0,15.07,3.46,1.85,,
2005-11-01,0.0,0.0,0.0,2346.72,29450368.0,7275500000.0,15.18,3.48,1.84,,
2005-11-02,0.0,0.0,0.0,2375.99,105574599.0,31272100000.0,15.37,3.52,1.81,,
2005-11-07,0.0,0.0,0.0,2416.29,116795858.0,35974500000.0,15.63,3.58,1.78,,
2005-11-08,0.0,0.0,0.0,2447.78,120018153.0,36292000000.0,15.83,3.63,1.76,,
2005-11-09,0.0,0.0,0.0,2444.02,109822571.0,32739300000.0,15.81,3.62,1.76,,
2005-11-10,0.0,0.0,0.0,2454.55,102817977.0,27427800000.000004,15.88,3.64,1.75,,
2005-11-11,0.0,0.0,0.0,2499.94,109456264.0,34200600000.0,16.17,3.71,1.72,,
